"Intelligent manufacturing is now a reality, and the advances we announced today spanning end-to-end IoT security, d‰Û_ https://t.co/kSIZL3km1C"
"RT @MSFTResearch: The 2018 ACM A.M. Turing Award was awarded to Yoshua Bengio, a Microsoft Research Montreal collaborator, Geoffrey Hinton‰Û_"
Great to be with Adobe CEO Shantanu Narayen at #AdobeSummit this morning to share an update on how the Open Data In‰Û_ https://t.co/jFFGqL14DK
RT @MSCloud: We're continuing to expand our #Azure Stack offerings and delivering more innovation at the edge. Read about our Azure Stack u‰Û_
"I recently talked to SÌüren Skou, CEO of @Maersk, the world‰Ûªs largest container shipping company, and he shared less‰Û_ https://t.co/Hezlq5Qgzj"
"RT @Adobe: We're excited to extend our partnership with @Microsoft and @LinkedIn, accelerating Account-Based Experiences: https://t.co/91YT‰Û_"
"RT @MSFT365news: Introducing new @Microsoft365 enhancements to help IT reduce costs, increase security, and boost employee productivity. #M‰Û_"
"Our #HackingSTEM team offers teachers free, hands-on lesson plans that teach critical skills, like problem-solving,‰Û_ https://t.co/wvFVycpAkp"
Partnering with Renault-Nissan-Mitsubishi Alliance to apply the power of Azure to fuel new connected car services i‰Û_ https://t.co/svgQML9rA5
"Today we introduced new capabilities to make collaboration more inclusive and intelligent, while delivering new lev‰Û_ https://t.co/RAOdMbB7jx"
Hate and violence have no place in our society. We mourn all the victims of the horrific attack in New Zealand incl‰Û_ https://t.co/cCIp2EPSv0
Great to see I Promise School at the forefront of equipping students with skills they need to thrive in any career‰Û_ https://t.co/aCjyQ61wKn
"Announcing Microsoft Game Stack, a new initiative bringing together tools and services ‰ÛÒ from Azure and App Center‰Û_ https://t.co/QhfG8nSOrn"
"RT @ToniTWhitley: With today‰Ûªs @Microsoft_Gov announcements, we are deepening our support of government across all branches and levels, ena‰Û_"
RT @jennylayfluffy: Achieving big goals takes partnership. Humbled to partner with so many amazing folks and organizations to work and driv‰Û_
"Ann frames so well why we must collectively address this challenge: ""Our teams need to be as diverse as the problem‰Û_ https://t.co/xTuQh2yOzz"
"RT @BillGates: I was lucky to be a young person when the digital revolution was just getting under way, and my Microsoft colleagues and I h‰Û_"
"I sat down with Kaiser Permanente CEO @BernardJTyson recently, and we chatted about how technology is rapidly trans‰Û_ https://t.co/HbAx4qojzw"
"RT @BradSmi: How do we design, build, and use #AI to create a positive impact on society? These are the crucial questions business leaders‰Û_"
"RT @Microsoft: For #InternationalWomensDay, learn about STEM pioneers that built the foundation for the next generation. Visit: https://t.c‰Û_"
I had the chance to sit down with Volkswagen CEO Herbert Diess in Berlin last week to talk about our partnership to‰Û_ https://t.co/1gEydTKpd8
"This #InternationalWomensDay, we're celebrating the incredible contributions of women to our industry and also work‰Û_ https://t.co/lhah1akVKV"
RT @yusuf_i_mehdi: Thank you to all our customers and partners for helping us achieve 800 million #Windows10 devices and the highest custom‰Û_
"We‰Ûªre committed to creating new opportunity for people and organizations across Africa, becoming the first global p‰Û_ https://t.co/fmULcYaOJR"
"I enjoyed talking to Dr. Dieter Zetsche, chairman of @Daimler, about his vision for the future of the auto industry‰Û_ https://t.co/mJWn7afZFI"
Fantastic to see @PlutonForEver on 60 Minutes last night discussing the importance of STEM education for girls. Bon‰Û_ https://t.co/SXJv42XV7v
"This week, I talked to @Telefonica CEO @jmalvpal about how his company is putting AI at the center of its business‰Û_ https://t.co/UN0g0iU7MM"
"Cybersecurity is a central challenge, and we are committed to helping keep everyone safe from the latest threats. O‰Û_ https://t.co/7YKfZVq8HB"
Partnering with Volkswagen to deliver new Azure-based services that drive innovation in connected cars and define t‰Û_ https://t.co/soDbsx6MG8
"A look at how our Dynamics 365 mixed reality apps, when paired with HoloLens 2, empower workers everywhere, making‰Û_ https://t.co/XKWvbxZq9H"
"Together with TelefÌ_nica, we are applying the power of Azure and Azure AI to create new, innovative experiences for‰Û_ https://t.co/KHbSwqiTZO"
"Our collective opportunity in this era of the intelligent cloud and intelligent edge has never been greater, and wi‰Û_ https://t.co/DJLcCwNPhI"
"RT @Microsoft: Join us Sunday, February 24, at 6PM CET/9AM PT to learn about new innovations for the future of computing: https://t.co/U3dz‰Û_"
RT @Microsoft: #Cloud-based innovations help @Albertsons make shopping faster and easier for its 35 million weekly customers: https://t.co/‰Û_
"During #BlackHistoryMonth, colleagues across Microsoft are sharing how ""one small act"" helped define who they are t‰Û_ https://t.co/M80r2ao4X2"
We‰Ûªre bringing new AI and mixed reality capabilities to Dynamics 365 to help organizations unlock new insights from‰Û_ https://t.co/ud83VdZrnM
"Together with Daimler, we‰Ûªre applying the power of Azure to convert massive amounts of data into insights that will‰Û_ https://t.co/WV6L8LlC55"
"As we celebrate #BlackHistoryMonth, we also recognize the 30th anniversary of our Blacks at Microsoft community. As‰Û_ https://t.co/7OKEhKlwCd"
"RT @arunulag: Gartner calls out #PowerBI's leadership in latest MQ - deeply grateful to our customers, community, and partners, and to the‰Û_"
"RT @MicrosoftWomen: Happy International Day of Women and Girls in Science!  Today we celebrate the incredible contributions to science fr‰Û_"
"We have an enormous opportunity to apply advances in cloud &amp; AI to provide more personal, affordable and accessible‰Û_ https://t.co/1cFBL5Ix9B"
"RT @Microsoft: _ÙÕ_ Imagine_ÙèÑ•üè Create‰Î¬•üè CodeMicrosoft Build is a go.Join us in Seattle from May 6-8: https://t.co/KYm5nAbyt9 #MSBuild"
"Microsoft has always been a partner-led company, and we are committed to creating more opportunity for our partners‰Û_ https://t.co/ppLcgSJmjc"
"RT @judsonalthoff: Big news: Today's launch of the Accenture Microsoft Business Group, the next step in our @Accenture &amp; @AvanadeInc partne‰Û_"
Deeply saddened to learn of the passing of Pierre Nanterme. Pierre was a friend and visionary leader who drove the‰Û_ https://t.co/3XeBJ8GReI
Empowering every gamer of every ability to play the games they love https://t.co/plQdzCSydN
"With our Power Platform, we are enabling anyone with a big idea and the passion to make a difference to maximize th‰Û_ https://t.co/uKqjCLERpD"
"From Walmart to Mastercard to ZF, it‰Ûªs fantastic to see how organizations across industries are building digital ca‰Û_ https://t.co/hD2JNnkaDo"
"Today we are welcoming Citus Data to Microsoft, building on our commitments to make Azure the most comprehensive cl‰Û_ https://t.co/93o97kRXBH"
Across Microsoft ‰ÛÒ from Teams and Flipgrid to Surface and Mixed Reality ‰ÛÒ we are working to empower every student a‰Û_ https://t.co/4w7ERImAM1
Today we celebrate the incredible life and legacy of Dr. Martin Luther King Jr. I hope Dr. King‰Ûªs work inspires eac‰Û_ https://t.co/HhWcDPINcj
The necessity of tech intensity in today‰Ûªs digital world https://t.co/hJFmfcF1I2
The Puget Sound is Microsoft‰Ûªs home and we believe everyone who works here ‰ÛÒ our employees &amp; partners and all those‰Û_ https://t.co/Pk5USHIN97
"Together with Walgreens Boots Alliance we aim to put people at the center of their health &amp; wellness, combining the‰Û_ https://t.co/kk0jypAoHF"
Introducing new capabilities in Microsoft Teams to empower the more than 2 billion firstline workers around the wor‰Û_ https://t.co/rFqQ4j7q8K
"RT @Windows: When everything‰Ûªs talking, it‰Ûªs easier to make connections. See how the intelligent edge is bringing millions of devices toget‰Û_"
"RT @BradSmi: Not another Top 10 list! Today, I‰Ûªm looking back at the hot-button tech issues from 2018, and thinking about how they‰Ûªll impac‰Û_"
"Together with Kroger, we are applying the power of Azure and Azure AI to redefine the shopping experience for milli‰Û_ https://t.co/qQQDPFgBWC"
"RT @jennylayfluffy: Steve, you‰Ûªre a humble force of nature who deserves this and so much more. You‰Ûªve changed the face of ALS &amp; disability.‰Û_"
"Congratulations, Bonnie! What a well-deserved honor. Your passion, creativity and commitment to STEM is an inspirat‰Û_ https://t.co/dUmtm1kumU"
10 change-makers who inspired me in 2018 https://t.co/kQt8nBVCjF
"With the team at BlackRock, we‰Ûªre applying the power of the cloud and AI to reimagine retirement planning. https://t.co/JuKFBNehAy"
We need to level the playing field so companies receiving funding are a truer reflection of the world in which we l‰Û_ https://t.co/RhdrboGih0
RT @BradSmi: Today is the first anniversary of Microsoft‰Ûªs #AIforEarth initiative. I‰Ûªm always impressed by our grantees‰Ûª incredible work. T‰Û_
RT @Microsoft: Data tells @FruitOfTheLoom when it's time to stock the shelves. Learn how they draw insights: https://t.co/ZxMToD1ur1 _Ùçà_Ùç_
"We've seen how AI can be applied for good, but we must also guard against its unintended consequences. Now is the t‰Û_ https://t.co/lgcMiTNLdU"
It was delightful to visit the Starbucks Signing Store in D.C. today and meet some of the partners there. What an i‰Û_ https://t.co/L4FsWrkxae
"It‰Ûªs #CSEdWeek, and this morning I met with students and teachers from Brooklyn and the Bronx, who shared with me t‰Û_ https://t.co/UmAQMtDSjw"
"The rural broadband gap is an urgent national problem that must be solved, and we are committed to doing our part t‰Û_ https://t.co/tad8u5z08b"
"A powerful example of how teaching computer science can change how students approach learning ‰ÛÒ and, in the process‰Û_ https://t.co/jQQcNBfppJ"
"RT @jennylayfluffy: Today is @UN International Day of Persons with Disability. The focus is  building an inclusive equitable world, that is‰Û_"
RT @MicrosoftEDU: #CSEdWeek has arrived and we couldn't be more excited to dive in. We hope you'll follow along and gather some inspiration‰Û_
"Each of us needs a digital identity we control, which provides us a secure, instant way to verify our identity with‰Û_ https://t.co/r0gptnkGFM"
George H.W. Bush will be remembered for his dedicated service and leadership to our country. My thoughts are with h‰Û_ https://t.co/URxfU0gMQd
"RT @Microsoft: When everybody plays, we all win. https://t.co/ArblvlwCHI https://t.co/rfQEEguYqp"
RT @MSFTBlockchain: Build and deploy end-to-end #blockchain apps using the best of Microsoft and Azure with the new #AzureBlockchain Develo‰Û_
"This year‰Ûªs #skypeathon brought together students and teachers from more than 100 countries, traveling nearly 24M v‰Û_ https://t.co/ZIxoXXPxgU"
"RT @XboxP3: One of TIME's 50 best inventions of 2018  - the Xbox Adaptive Controller - Wow, very cool recognition of the team's work. https‰Û_"
RT @Microsoft: Most companies say they want to use #AI. Learn how we're making it possible: https://t.co/faPa4Sds47
"From Antwerp to Denver to Espoo to Houston, we‰Ûªre working with cities around the world to apply technology to tackl‰Û_ https://t.co/0X5wI9hJ1w"
"The Paris Call for Trust and Security in Cyberspace is an important step on the path toward digital peace, creating‰Û_ https://t.co/GyDHveuMxI"
"Happy Veterans Day and thank you to all those who have served our country, we owe so much to your service and sacri‰Û_ https://t.co/Difr3porWp"
"RT @geekwire: #Microsoft is supporting a five-year effort by @AnswerALS with $1M in cloud computing and technical services.‰ÛÏThis is using‰Û_"
"We need to protect the people, organizations, and communities who depend on the digital world. You can help by sign‰Û_ https://t.co/iiCuZqQGGa"
"Centrica is defining the future of field operations, applying the power of Azure and Dynamics 365 to transform the‰Û_ https://t.co/EjkmoyaMJe"
"A great example of how technology can empower people with disabilities, inspired by and built in collaboration with‰Û_ https://t.co/3sjMkv6XnG"
Learn how the Microsoft Soundscape app enables anyone ‰ÛÒ including people who are blind or with low vision ‰ÛÒ to hear‰Û_ https://t.co/V8YoRVBlta
"I‰Ûªm thrilled to welcome GitHub to Microsoft. Together, we will continue to advance GitHub as a platform loved by de‰Û_ https://t.co/pQMvUsPl49"
"This week I‰Ûªm sharing how our Xbox Adaptive Controller was designed for ‰ÛÒ  and with ‰ÛÒ gamers with limited mobility,‰Û_ https://t.co/FeJeEjKMKY"
RT @judsonalthoff: .@AlyTay1 describes the intersection of technology &amp; financial services and how new solutions help #finserv orgs compete‰Û_
"@YuanqingYang Thank you for having me, YY. Always a pleasure to connect with you and the Lenovo team."
RT @panos_panay: Today you can buy Surface Pro 6 and Surface Laptop 2. Products designed to get you into your flow and help you create what‰Û_
Our progress and opportunity ahead https://t.co/CbnmcoRYRP
RT @Microsoft: Statement from Microsoft CEO Satya Nadella on the passing of Paul Allen: https://t.co/1iLDLenLKz
"We‰Ûªre inspired to see how Microsoft 365 Learning Tools is empowering people with dyslexia, and today we signed the‰Û_ https://t.co/nLxgz4nn6A"
"Bringing the power of Azure, AI and Azure Sphere to cricket, transforming how the game is played, coached and watch‰Û_ https://t.co/QqArPP9pCA"
Seeing AI is an example of how AI can transform everyday life for people with disabilities. The app narrates the wo‰Û_ https://t.co/2YrWRDZ7Du
"Announcing Project xCloud game-streaming, to put gamers at the center of their gaming experience, on whatever devic‰Û_ https://t.co/TdboYZeNR2"
"RT @panos_panay: Everything we do, all the choices we make, our commitment to every detail, every radius, every key, it's all about helping‰Û_"
RT @MSFTChicago: The City of Chicago will be the first to pilot the @SmartCityA11y Digital Inclusion Maturity Model to empower people with‰Û_
"RT @yusuf_i_mehdi: Today we shared our vision for a new era of personal productivity; unveiled #SurfacePro6, #SurfaceLaptop2, #SurfaceStudi‰Û_"
Celebrating National Disability Employment Awareness Month with a look at how technology can be applied to empower‰Û_ https://t.co/jCMsPp0JuL
"Paul, All of us at Microsoft are standing with you and are here to lend you strength in all the days ahead. https://t.co/xWnQE09uDW"
Nine billion MCU-based IoT devices ship each year and are rapidly becoming connected ‰ÛÒ from washing machines to chi‰Û_ https://t.co/Ko19w2lTW4
Partnering with Volkswagen to accelerate their digital transformation and drive new innovation https://t.co/pBrZlirJRM
RT @Microsoft: .@Chevron is improving their performance and speed of global collaboration by leveraging #mixedreality applications for firs‰Û_
Announcing new AI and mixed reality business apps for Microsoft Dynamics 365 https://t.co/lUDsOU9NyR
Combining the power of Azure and Mastercard‰Ûªs payment network to define the future of business-to-business transact‰Û_ https://t.co/k6kYqzhFZt
"Otto Knoke, who lives with ALS, is pioneering the use of Eye Control and has regained his independence because of i‰Û_ https://t.co/W7Jd3Eo7P9"
BMW is transforming how people interact with their cars with Microsoft Azure and AI https://t.co/cyqMyO6r9y
"RT @XboxWire: The first-of-its-kind #XboxAdaptiveController will be available starting today, so even more gamers from around the world can‰Û_"
